Designation,Process,Graduation_Cleaned,Post Graduation_cleaned,Diploma_cleaned,Others_cleaned,Raw Master Category_cleaned,Notice period served,Voluntary / Forced,Gender,Rating,Band,Company,Business,Last Shifts for person,Deparment
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Underpayments,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Underpayments,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Underpayments,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Quality Analyst,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Medical Transcriptionist,Medical Transcription,B.Sc,No details,no details,no details,Abanonded,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Best Possible,B.Com,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Assistant Manager,Patient Financial Services,No details,No details,no details,no details,Better opportunity,1,Data to be derived/skimmed,M,Rating not available,P1,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Assistant Manager,Training,No details,No details,no details,no details,Personal ,1,Data to be derived/skimmed,M,Rating not available,P1,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
Assistant Manager,Human Resources,No details,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,M,Rating not available,P1,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Best Possible,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Best Possible,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Lead Developer,Software Development,General Nursing,No details,no details,no details,Personal ,1,V,M,Rating not available,P1,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,FCC,B.Sc,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Process Trainer,Training,B.Com,No details,no details,no details,Personal ,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
Analyst,FCC,B.A.,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.A.,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.A.,No details,no details,no details,Terminated,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
BP-QA,Best Possible,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Trainee,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Trainee,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Trainee,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Trainee,Medical Transcription,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Trainee,Medical Transcription,No details,No details,no details,no details,No work,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Trainee,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Trainee,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Quality Analyst,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Quality Analyst,Medical Transcription,B.A.,No details,no details,no details,Better opportunity,1,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Quality Analyst,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Returned mail,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,PLB,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Milwaukee- AR Follow Up PLB,B.Sc,No details,no details,no details,No data available,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,PLB,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Lead,Quality,B.I.T. ,No details,no details,no details,Abanonded,0,V,M,Rating not available,P1,R1 RCM India,Quality,3:00 PM - 12:00 AM,Quality
Analyst,PLB,B.B.A.,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,PLB,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Dartmouth - North PLB,B.Com,No details,no details,no details,Better opportunity,1,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,PLB,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,PLB,No details,No details,no details,no details,Higher Studies,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Trainee,Medical Transcription,No details,No details,no details,no details,No work,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Higher Studies,1,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Higher Studies,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.B.A.,No details,no details,no details,Personal ,1,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,B.C.A. ,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Milwaukee-Cash Posting,B.B.A.,No details,no details,no details,Personal ,1,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Returned mail,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Coach,Milwaukee-Cash Posting,B.E.,No details,no details,no details,Better opportunity,1,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Coach,Patient Financial Services,B.Sc,No details,no details,no details,Better opportunity,1,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.Sc,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
PE-QA,Patient Financial Services,B.C.A. ,No details,no details,no details,Personal ,1,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.Sc,No details,no details,no details,Personal ,1,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Medical Transcriptionist,Medical Transcription,No details,M.A.,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Coach,Patient Financial Services,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Assistant Manager,Administration,B.E.,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,P1,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
System Engineer,IT,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,IT,3:00 PM - 12:00 AM,IT
Senior Medical Transcriptionist,Medical Transcription,B.A.,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,B.Com,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.A.,No details,no details,no details,Terminated,0,V,M,C,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Coach,Patient Financial Services,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,PLB,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.A.,No details,no details,no details,Transport Issues,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Higher Studies,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.Sc,No details,no details,no details,Personal ,1,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,B.A.,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Coach,Patient Financial Services,No details,No details,no details,B.Com.,Better opportunity,1,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Health,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,B.Com,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Transport Issues,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,B.A.,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Supervisor,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.Com,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Higher Studies,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,PLB,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
RCM-QA,MFS,B.A.,No details,no details,no details,Personal ,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Best Possible,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Coach,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
